,count,mean,std,min,50%,95%,max,pct_missing
total_count,207289.0,490.91,670.47,0.0,314.0,1444.0,37179.0,0.0
log_rain,207289.0,0.91,1.14,0.0,0.22,3.19,4.99,0.0
rain_day,207289.0,0.6,0.49,0.0,1.0,1.0,1.0,0.0
heavy_rain_day,207289.0,0.25,0.43,0.0,0.0,1.0,1.0,0.0
temp_mean,207289.0,11.79,6.16,-7.11,11.67,21.19,29.41,0.0
wind_mean,207289.0,3.31,1.66,0.03,2.99,6.6,15.92,0.0
hum_mean,207289.0,81.23,11.14,33.83,82.91,96.58,100.0,0.0
pressure_mean,207289.0,1011.02,10.89,958.23,1011.98,1027.21,1047.1,0.0
radiation_mean,207289.0,119.39,91.09,-3.55,97.52,295.09,485.06,0.0
station_km,207289.0,16.47,7.52,2.2,14.96,31.05,36.93,0.0
dow,207289.0,3.0,2.0,0.0,3.0,6.0,6.0,0.0
month,207289.0,6.64,3.54,1.0,7.0,12.0,12.0,0.0
commute_share,205227.0,0.31,0.1,0.0,0.3,0.48,1.0,0.99
n_slots,207289.0,191.36,9.23,2.0,192.0,192.0,200.0,0.0
weekend,207289.0,0.29,0.45,0.0,0.0,1.0,1.0,0.0
holiday,207289.0,0.03,0.18,0.0,0.0,0.0,1.0,0.0
covid,207289.0,0.05,0.22,0.0,0.0,1.0,1.0,0.0
